batch,mu_hat,m2_hat,var_hat,zscore
0,2.4754926162301185,9.976729780413182,3.8486660874033447,1.8882467297511583
1,2.477821639838202,10.002242264905329,3.8626421860548517,2.098242698924231
2,2.4859270679381327,9.89109013190455,3.711256744797068,-0.1763786563131107
3,2.463797586332248,9.818741165414965,3.748442618998353,0.38235263824631677
4,2.4359970485868483,9.530760105689732,3.5966784849658957,-1.8979587137647562
5,2.463543244220844,9.88917397563293,3.8201286594867696,1.459461488427627
6,2.4517889290052306,9.71385999281402,3.702591040421405,-0.30658401864707885
7,2.4779133282568924,9.815264621755853,3.6752101594027033,-0.7179917218772535
8,2.4547703316491503,9.71542186194658,3.689524480801702,-0.5029138328188879
9,2.4606994404328586,9.871610970658033,3.816569234511449,1.4059798326358843
10,2.4409480427371006,9.588513454476352,3.6302861071342702,-1.3929919583899082
11,2.4830640777868833,9.97349955872887,3.8078923443332444,1.2756063995473963
12,2.4713927763649495,9.887385188258586,3.7796029331897323,0.8505477005107513
13,2.4724906699032703,9.919090056310244,3.8058799435515223,1.2453693453407972
14,2.4502448783043893,9.768204550773953,3.764504587117062,0.6236895553660076
15,2.453822283684616,9.715307585802128,3.6940637858949437,-0.43470912160466363
16,2.471511098332849,9.868911816007014,3.760544706824568,0.5641909126784805
17,2.462007787208253,9.803351301811627,3.741868957537549,0.2835809821569876
18,2.4637931690009864,9.812941519817315,3.7426647402013913,0.2955379063252834
19,2.4699861595123553,9.782123149222377,3.6812915210397827,-0.6266170498236374
20,2.4791703033723484,9.875162516812468,3.7288771236891254,0.08837394989687392
21,2.47181551254636,9.87949059278512,3.769618664720295,0.7005304327450054
22,2.460919455217611,9.768273090262197,3.712148525193654,-0.1629793312696813
23,2.433424916149087,9.605837519449851,3.6842806969146613,-0.5817035943217896
24,2.4523427801864286,9.65996552010592,3.6459804085734184,-1.1571793669516732
25,2.434734448322562,9.66336172177979,3.73542988793122,0.18683161766905598
26,2.4993021882785644,10.05628119032924,3.80976976199522,1.3038152832494798
27,2.442818140957092,9.597285845185883,3.6299253753968195,-1.3984120840420187
28,2.4641374432977567,9.915122822792705,3.8431494833307003,1.8053577456601524
29,2.45748253174175,9.701159258189824,3.661938864373983,-0.9173977600878792
30,2.4766064328350907,9.832455201308134,3.698875778147981,-0.36240718656352056
31,2.495742740054377,10.027062378470449,3.79833055393632,1.1319370185921154
32,2.459258667856107,9.739681556046705,3.691728360621311,-0.46979973637468125
33,2.4963901252312843,10.004940324747505,3.7729766673952376,0.7509856451611169
34,2.447796340039686,9.663843596972908,3.6721366746612265,-0.7641719487859615
35,2.456854486305221,9.784205230183542,3.7480712633054507,0.37677288379670754
36,2.4543897026153396,9.733195163784831,3.709166351480616,-0.20778757674127082
37,2.4747842563456657,9.88339777669225,3.7588406612358813,0.5385870074804595
38,2.4732950630882033,9.898431089265202,3.7812426201687224,0.8751845941732301
39,2.4334677196248595,9.529893991486237,3.608128849030023,-1.7259128260683596
40,2.4959298777605845,9.939329747153176,3.709663792455209,-0.20031334504251286
41,2.467902896809528,9.854053086168019,3.7635083780871588,0.6087211520976913
42,2.4727963770675014,9.76473963443657,3.6500177119984087,-1.096517413518396
43,2.4593827541230735,9.750461308980016,3.7018977777020217,-0.3170005433352998
44,2.4784842448350624,9.887633381317164,3.7447492294215348,0.32685811555746813
45,2.45598191141535,9.793756021685898,3.7619088724865026,0.5846879982696502
46,2.475418542691888,9.872673123736508,3.7449761622336766,0.3302678636575041
47,2.4336265813879403,9.675874741001532,3.753336403363579,0.45588352954328726
48,2.4821882508217366,9.898834239530855,3.7375757270133825,0.2190736309078206
49,2.427957496553904,9.555263903997309,3.6602862989250085,-0.9422281574493037
50,2.4514024778273344,9.704963270454527,3.6955891621565327,-0.411789788077246
51,2.4710790618995127,9.934573607947243,3.828341877789067,1.5828680828161856
52,2.5468346594279514,10.349863266613271,3.863496484149782,2.1110788387427117
53,2.4278311471510583,9.579355677716148,3.684991598639324,-0.5710220371591077
54,2.4460388109022024,9.636014251018546,3.6529083865786856,-1.0530839758198332
55,2.436367819073228,9.522750989328387,3.586862839512749,-2.045442359336372
56,2.483545859243747,9.975151691705598,3.807151656738836,1.2644772988505069
57,2.4675791115079084,9.775109522014438,3.686162850464279,-0.5534235521841452
58,2.439319337999773,9.67474800565023,3.72446917291058,0.022142885070495544
59,2.4910149983517185,9.961508962451507,3.756353240438295,0.5012126046406438
60,2.4552097488980884,9.772093130145988,3.744038219061774,0.31617492611289466
61,2.5094007582425824,10.103977598059132,3.8068854325906845,1.2604771841259077
62,2.4948852176246405,9.978956378729452,3.7545041296075015,0.473429041380018
63,2.4517388307293433,9.651559608431038,3.64053631432495,-1.2389788645427553
64,2.488470125668611,9.964628590693225,3.772145024348072,0.7384899056811479
65,2.461780556613424,9.827417590216797,3.767054081296898,0.6619966333672073
66,2.418170597552756,9.427232519874195,3.5796834810055422,-2.1533148340057813
67,2.483577103889328,9.977752116242442,3.809596885279139,1.3012177476677602
68,2.4510141831559973,9.803649063785457,3.7961785377535966,1.0996021921691213
69,2.4416698622649733,9.66181657333656,3.7000648570435066,-0.3445408433646438
70,2.4622199384489036,9.843052057133766,3.780525031838444,0.8644025683274204
71,2.441302369717506,9.628904540726177,3.6689472803378678,-0.8120937593504998
72,2.46368595432595,9.799816896674887,3.7300684151319192,0.10627353742376267
73,2.47540874159028,9.853328796383503,3.7256803584419282,0.040341388518840234
74,2.4756891833632646,9.894408913857953,3.7653719812360853,0.6367224677130916
75,2.4570141930820038,9.802086912231154,3.7651681672247435,0.6336600880097137
76,2.4359543508379664,9.656238684878431,3.7223650855120134,-0.009471793925722349
77,2.5006445702633737,10.14307769454164,3.8898544277539466,2.507116534997018
78,2.482500129230763,9.888385803880444,3.7255789122496896,0.03881712255669567
79,2.480189464389907,9.82207876836724,3.670738989096545,-0.7851726831162693
80,2.463160541748937,9.776970771725244,3.709810917296327,-0.1981027407551226
81,2.4419269087789375,9.711231494132678,3.7482244663140207,0.3790748147623582
82,2.478939651427324,9.861155473106878,3.716013677688255,-0.10490400822393442
83,2.4565387616584236,9.705297184095226,3.6707144965649245,-0.7855406923185098
84,2.463746919507933,9.875895097682164,3.8058462142973353,1.244862551020072
85,2.4381471769934997,9.616593825883331,3.6720321692019597,-0.7657421813486972
86,2.457534251010038,9.75976070524045,3.7202861103529807,-0.040709152382743044
87,2.4749590390087812,9.878229189306943,3.7528069445356724,0.4479282179448328
88,2.474316760132986,9.981541828289338,3.8592983988143414,2.04800107858451
89,2.4755077261303406,9.858309175789621,3.7301706736586118,0.10781000900674596
90,2.4706684852951724,9.81124612817326,3.7070433639425175,-0.239686237213108
91,2.454788848189323,9.714973902034926,3.6889856128402627,-0.5110105200733505
92,2.4970650637646714,10.010216681664097,3.774882748990035,0.7796252148867719
93,2.436874481113076,9.651213582332858,3.7128563456327344,-0.15234407154437984
94,2.4607694125665023,9.763781895900232,3.7083957940773438,-0.2193654821881655
95,2.482338207461553,9.87409039961037,3.712087423386933,-0.16389740815512188
96,2.486403183109735,9.868414937846042,3.686214148867819,-0.5526527749996784
97,2.4557856062392833,9.837987641295145,3.8071046974831004,1.2637717189411408
98,2.4402773246920604,9.614327585220249,3.659374163814009,-0.9559333194853796
99,2.4590390319225492,9.760484123225464,3.7136111627068757,-0.14100267027174282
100,2.4714818580016304,9.848106552408998,3.739883977977807,0.25375594179124794
101,2.439206262264449,9.609019739112352,3.659292549242249,-0.9571596081316476
102,2.435339558176073,9.50365596731775,3.57277720370052,-2.257084164217957
103,2.4588507915760163,9.762796010731869,3.7168487954978664,-0.09235605917349513
104,2.4676171102558566,9.777648135138271,3.6885139323108067,-0.5180976917077967
105,2.469538523184682,9.767023237773218,3.6684027202800387,-0.820275972424993
106,2.4641532149271668,9.728759501015995,3.6567084343801035,-0.9959868744855687
