m,B,N_total,z_mean,z_std,z_skew,z_exkurt,v_bar,se_vbar,ci_low,ci_high,ci_halfwidth,score
5000,200,1000000,-5.773159728050814e-16,0.9999999999999998,0.2462693698575119,-0.0228810883516668,3.7319056352573377,0.006672637856691121,3.714718059134103,3.7490932113805724,0.017187576123234738,1.7180660935556515
10000,200,2000000,-1.3322676295501878e-15,0.9999999999999998,0.01692800264538711,-0.34815652454853874,3.722995472499125,0.004706087535836353,3.710873394319252,3.7351175506789986,0.01212207817987343,1.2733750994644075
20000,200,4000000,4.121147867408581e-15,1.0,-0.17063481342201903,0.3744964909177626,3.724327251217353,0.0031905765713245472,3.7161088705897187,3.732545631844987,0.008218380627634136,2.385887059206085
10000,300,3000000,9.325873406851315e-17,1.0,0.16236736956691494,0.13579041942641945,3.724280899003984,0.004084344587074691,3.7137603245308055,3.7348014734771624,0.010520574473178446,1.5350838618674998
20000,150,3000000,-4.7961634663806766e-15,0.9999999999999999,-0.10490087039961704,0.38166975428984173,3.724506276610915,0.0038333862544610254,3.714632127964853,3.734380425256977,0.009874148646062064,1.9715716502970178
20000,100,2000000,-3.532729664357248e-15,1.0,-0.1293740140743407,0.409704757735883,3.723233531875469,0.0045451670794711485,3.7115259573226416,3.7349411064282965,0.011707574552827449,2.228175952948619
